"sex","height","weight","income","waga","woje","class","age","age6","education"
2,150,75,1200,1,2,6,53,4,50
1,173,80,3500,0.2169724809,2,6,50,4,50
1,171,96,2500,0.24357409512,2,6,35,3,30
2,167,64,2000,0.2395427901,2,6,25,2,30
2,167,70,1000,0.2077667153,2,6,50,4,50
1,170,70,1000,0.1902057577,2,6,63,5,60
2,163,105,1000,0.150348,2,6,59,4,60
1,180,91,4500,0.5010715905,2,1,56,4,40
2,165,60,950,0.551706,2,1,56,4,40
2,170,62,3300,0.187111,2,1,38,3,20
2,156,53,1300,0.2968511273,2,1,63,5,60
2,155,58,2800,3.93716238456,2,1,66,6,11
2,167,80,3000,1.5658561299,2,1,66,6,11
2,156,50,3000,0.140353,2,6,29,2,50
1,178,98,1950,0.126327,2,6,37,3,50
2,158,43,1200,0.163511,2,6,20,1,30
2,158,50,630,0.1145404615,2,6,54,4,50
2,154,52,1900,3.49462662552,2,5,86,6,60
1,176,82,2500,1.77407,2,6,44,3,50
2,176,64,1400,1.57466044032,2,5,31,2,11
2,174,84,820,1.302192,2,5,54,4,30
1,174,80,1300,1.693911,2,4,65,6,60
2,164,60,2300,0.834689,2,4,66,6,30
1,170,90,1800,1.659394,2,6,69,6,11
1,175,87,2060,0.57798237408,2,5,76,6,30
2,164,82,1170,0.52894909224,2,5,69,6,50
2,158,64,1680,0.446498,2,6,79,6,50
1,178,85,3200,0.634868,2,3,62,5,30
1,170,78,2300,0.654868,2,3,39,3,30
2,173,88,1950,0.665956,2,3,35,3,11
1,178,85,1800,0.341491,2,6,64,5,60
1,185,86,1500,0.294289,2,6,33,2,60
2,165,59,1500,1.090894,4,5,48,4,40
2,168,97,1880,0.74459,4,5,74,6,60
1,166,74,1500,0.877187,4,6,60,5,50
2,170,73,1300,0.24830001528,4,4,59,4,50
2,175,75,1420,0.587144,4,6,21,1,40
2,160,64,1400,0.349956,4,6,47,4,50
2,164,82,1900,0.1601430618,4,6,70,6,11
2,170,60,1200,0.542768,4,6,20,1,60
2,164,72,1500,0.64998090672,4,6,50,4,50
2,153,57,560,0.38025480672,4,6,67,6,60
1,164,112,1724,1.35961300272,4,4,62,5,30
2,150,86,948,1.22311830912,4,4,61,5,50
2,153,68,1300,1.40764391328,4,4,60,5,50
1,187,93,4000,1.039472,4,4,77,6,11
2,167,69,700,1.06316408832,4,4,62,5,40
1,174,78,1440,1.5432218395,4,4,68,6,30
2,153,71,1130,1.4849067393,4,4,62,5,50
1,185,58,2000,2.2542148063,4,4,36,3,50
2,167,82,1360,0.6043165475,4,5,74,6,40
1,178,87,2400,1.032,4,5,78,6,50
2,158,69,1014,1.032,4,5,72,6,70
2,165,80,1286,0.768308,4,5,53,4,50
1,136,56,793,0.860596,4,5,29,2,50
1,172,72,1350,1.000979,4,5,21,1,50
1,173,90,1300,0.860596,4,5,32,2,50
2,165,60,1280,1.003994,4,5,22,1,30
1,180,90,270,2.106192,4,5,45,4,50
2,160,75,1500,1.764278,4,5,68,6,50
2,167,80,900,0.69183708264,4,6,73,6,60
2,167,80,1500,1.534084,4,6,48,4,20
1,182,110,1000,1.727124,4,6,53,4,50
2,150,62,1000,0.372656,4,6,79,6,60
1,180,87,3000,0.41213404008,4,6,52,4,60
